equation_set,equation_type,term_name,coefficient
9,x,dy/dt_x,-2.1901986946086263
9,x,d^2y/dt^2_x,-0.44721359549995787
9,x,t_x,0.2393272342596451
9,x,t^2_x,0.0030541821388483147
9,x,x*dx/dt_x,0.012621718331080264
9,x,y*dy/dt_x,-0.447213595499958
9,x,dx/dt*dy/dt_x,0.44721359549995787
9,x,dx/dt*d^2x/dt^2_x,-4.578431945713613e-05
9,x,dx/dt*d^2y/dt^2_x,0.0008647376063828916
9,x,dx/dt*t_x,0.44088289627713273
9,x,d^2y/dt^2*t_x,-0.44628082814185466
9,x,d^2y/dt^2*sin_x,0.009224532193845884
9,y,C_y,0.4587293983227173
9,y,x_y,0.0063751059681856955
9,y,y_y,-0.2951197149561891
9,y,dx/dt_y,0.2975610325151664
9,y,d^2x/dt^2_y,0.2504530095319955
9,y,dy/dt_y,0.5190495437037586
9,y,d^2y/dt^2_y,-0.24436830979701876
9,y,t^2_y,-0.2124203927828104
9,y,y*d^2y/dt^2_y,0.0026594597454068936
9,y,dy/dt*dx/dt_y,0.29891424575442227
9,y,dy/dt*d^2x/dt^2_y,-0.005784069640726251
9,y,d^2x/dt^2*d^2y/dt^2_y,-0.00822137438274336
9,y,t*d^2y/dt^2_y,0.4423418205223557
9,y,t^2*y_y,0.005394210783617961
9,y,dx/dt*sin_y,-0.006244777409834231
9,y,dx/dt*cos_y,0.4458156899869425
10,x,C_x,-0.17372234883340776
10,x,x_x,-0.4205854488823551
10,x,y_x,0.24376115236425064
10,x,dx/dt_x,0.35375158503449344
10,x,d^2x/dt^2_x,-0.7977240352174656
10,x,dy/dt_x,0.5248110027369464
10,x,d^2y/dt^2_x,-0.44488241715920734
10,x,t_x,0.21571560459630523
10,x,t^2_x,-0.004571835980815827
10,x,x*dx/dt_x,0.0074041746973739385
10,x,y*dy/dt_x,-0.43970759052317376
10,x,dx/dt*dy/dt_x,0.44721359549995787
10,x,dx/dt*d^2x/dt^2_x,-0.009924888182624533
10,x,dx/dt*d^2y/dt^2_x,0.000493992111627207
10,x,dx/dt*t_x,0.44068812430349696
10,x,d^2y/dt^2*t_x,2.2283279142427914
10,x,d^2y/dt^2*sin_x,0.007487302115397055
10,y,C_y,0.4311644860722067
10,y,x_y,-0.013577925835539583
10,y,y_y,-0.30151134457776363
10,y,dx/dt_y,0.3015171539902099
10,y,d^2x/dt^2_y,0.2418077585188343
10,y,dy/dt_y,-1.8573489008678283
10,y,d^2y/dt^2_y,-0.24436830979701876
10,y,t^2_y,-0.9541955562037915
10,y,y*d^2y/dt^2_y,-0.005583200499227352
10,y,dy/dt*dx/dt_y,0.3183359716959403
10,y,dy/dt*d^2x/dt^2_y,-0.0007065461308352174
10,y,d^2x/dt^2*d^2y/dt^2_y,-0.013289161244424866
10,y,t*d^2y/dt^2_y,0.4412041076083575
10,y,t^2*y_y,0.00604011338048172
10,y,dx/dt*sin_y,-0.006228056456404867
10,y,dx/dt*cos_y,0.44721359549995787
11,x,C_x,-0.30894974565178285
11,x,x_x,0.13844327360241054
11,x,y_x,0.24111840963096623
11,x,dx/dt_x,-2.828426514620122
11,x,d^2x/dt^2_x,1.2535663410560176
11,x,dy/dt_x,0.5198042363255311
11,x,d^2y/dt^2_x,2.2360679774997894
11,x,t_x,0.24253574493501365
11,x,t^2_x,-0.0016740699574671278
11,x,x*dx/dt_x,0.0025364559766969837
11,x,y*dy/dt_x,-0.4396351512923832
11,x,dx/dt*dy/dt_x,0.44721359549995787
11,x,dx/dt*d^2x/dt^2_x,-0.0128197693218114
11,x,dx/dt*d^2y/dt^2_x,0.005884332574888425
11,x,dx/dt*t_x,0.44721359549995787
11,x,d^2y/dt^2*t_x,-0.447213595499958
11,x,d^2y/dt^2*sin_x,0.0016442206295198588
11,y,C_y,0.439610728362896
11,y,x_y,0.008795493397857958
11,y,y_y,-0.30048165711163805
11,y,dx/dt_y,0.3050269393152221
11,y,d^2x/dt^2_y,0.23185536903971005
11,y,dy/dt_y,0.5361287780238304
11,y,d^2y/dt^2_y,-0.24436830979701876
11,y,t^2_y,-0.230353876245222
11,y,y*d^2y/dt^2_y,0.005813112643886444
11,y,dy/dt*dx/dt_y,0.3123723944850643
11,y,dy/dt*d^2x/dt^2_y,0.007096763522427515
11,y,d^2x/dt^2*d^2y/dt^2_y,-0.004245909797643215
11,y,t*d^2y/dt^2_y,0.44311842587958405
11,y,t^2*y_y,-0.007076051740086519
11,y,dx/dt*sin_y,-0.010361706925592042
11,y,dx/dt*cos_y,-2.2360679774997894
12,x,C_x,-0.1645933872892438
12,x,x_x,-0.34409700842907454
12,x,y_x,0.23844658415137523
12,x,dx/dt_x,0.35028163214220054
12,x,d^2x/dt^2_x,-0.7977240352174656
12,x,dy/dt_x,-2.05732423489001
12,x,d^2y/dt^2_x,-0.43896404125719063
12,x,t_x,0.21524096326313905
12,x,t^2_x,0.007730163112335044
12,x,x*dx/dt_x,-0.0073999461437365055
12,x,y*dy/dt_x,-0.4426593560822708
12,x,dx/dt*dy/dt_x,0.44721359549995787
12,x,dx/dt*d^2x/dt^2_x,0.00010168351408562472
12,x,dx/dt*d^2y/dt^2_x,-0.004404760570989814
12,x,dx/dt*t_x,0.4424592918823065
12,x,d^2y/dt^2*t_x,-0.43870101515372123
12,x,d^2y/dt^2*sin_x,0.010901995794729604
12,y,C_y,0.44201950836241605
12,y,x_y,0.0063790858935032805
12,y,y_y,-0.30135333852834845
12,y,dx/dt_y,0.29622445173258455
12,y,d^2x/dt^2_y,0.23934351758187844
12,y,dy/dt_y,0.5361287780238304
12,y,d^2y/dt^2_y,-0.24436830979701876
12,y,t^2_y,-0.22289125743128144
12,y,y*d^2y/dt^2_y,0.0011683007501215091
12,y,dy/dt*dx/dt_y,-2.79106486476272
12,y,dy/dt*d^2x/dt^2_y,0.005015973620943239
12,y,d^2x/dt^2*d^2y/dt^2_y,0.0098903645525919
12,y,t*d^2y/dt^2_y,0.44721359549995787
12,y,t^2*y_y,0.0018346957729142115
12,y,dx/dt*sin_y,0.003933247201064291
12,y,dx/dt*cos_y,0.44721359549995787
13,x,C_x,-0.2520792496972744
13,x,x_x,-0.015370793703342302
13,x,y_x,0.24376115236425064
13,x,dx/dt_x,0.3283696305855402
13,x,d^2x/dt^2_x,-0.7977240352174656
13,x,dy/dt_x,0.524011011076517
13,x,d^2y/dt^2_x,0.00025133099634970724
13,x,t_x,0.24253574493501365
13,x,t^2_x,-0.012745856089253023
13,x,x*dx/dt_x,-0.447213595499958
13,x,y*dy/dt_x,-0.0025435504963510504
13,x,dx/dt*dy/dt_x,-0.005682498964527365
13,x,dx/dt*d^2x/dt^2_x,-0.00029549444212588456
13,x,dx/dt*d^2y/dt^2_x,0.7063789829376185
13,x,dx/dt*t_x,-0.0019684093824811275
13,x,d^2y/dt^2*t_x,0.005505720040875125
13,x,d^2y/dt^2*sin_x,0.011970546759220142
13,y,C_y,0.434476184101738
13,y,x_y,-0.5264945188989479
13,y,y_y,0.013841301296692587
13,y,dx/dt_y,0.32190344419807687
13,y,d^2x/dt^2_y,0.245732940536811
13,y,dy/dt_y,0.5361287780238304
13,y,d^2y/dt^2_y,-0.2331540022453233
13,y,t^2_y,0.011339011683019085
13,y,y*d^2y/dt^2_y,0.44721359549995787
13,y,dy/dt*dx/dt_y,0.3103229759488444
13,y,dy/dt*d^2x/dt^2_y,0.0014534364859482354
13,y,d^2x/dt^2*d^2y/dt^2_y,0.44721359549995787
13,y,t*d^2y/dt^2_y,0.005608395530363862
13,y,t^2*y_y,0.4386903971745549
13,y,dx/dt*sin_y,0.4368452664825825
13,y,dx/dt*cos_y,0.0015644135043537176
14,x,C_x,-0.25741049120200377
14,x,x_x,-0.02250892542757096
14,x,y_x,0.24376115236425064
14,x,dx/dt_x,0.33835177931538324
14,x,d^2x/dt^2_x,-0.7951110655508619
14,x,dy/dt_x,0.5258735439111837
14,x,d^2y/dt^2_x,0.006586073149399475
14,x,t_x,0.24253574493501365
14,x,t^2_x,-0.0029002520491961947
14,x,x*dx/dt_x,-0.447213595499958
14,x,y*dy/dt_x,-0.004817356250926197
14,x,dx/dt*dy/dt_x,0.006495699930066975
14,x,dx/dt*d^2x/dt^2_x,0.0044880435386803206
14,x,dx/dt*d^2y/dt^2_x,0.7071067811865475
14,x,dx/dt*t_x,0.004554124874776792
14,x,d^2y/dt^2*t_x,0.007182719455856836
14,x,d^2y/dt^2*sin_x,0.0048721173038203365
14,y,C_y,0.4434489914301996
14,y,x_y,-0.5373973420884918
14,y,y_y,-0.020827592515199146
14,y,dx/dt_y,0.28538688474599544
14,y,d^2x/dt^2_y,0.25783320148687067
14,y,dy/dt_y,0.5310262027328483
14,y,d^2y/dt^2_y,-0.23788760365191827
14,y,t^2_y,0.0007217341920738754
14,y,y*d^2y/dt^2_y,-2.2314071114634597
14,y,dy/dt*dx/dt_y,0.29803417079275146
14,y,dy/dt*d^2x/dt^2_y,-0.002281833722699089
14,y,d^2x/dt^2*d^2y/dt^2_y,0.4446574956267969
14,y,t*d^2y/dt^2_y,-0.003990695486730502
14,y,t^2*y_y,0.4472135954999579
14,y,dx/dt*sin_y,0.44591899602742113
14,y,dx/dt*cos_y,-0.003742009377682363
15,x,C_x,-0.2497441875170092
15,x,x_x,-0.021943062655696524
15,x,y_x,0.24168768299125942
15,x,dx/dt_x,0.35375158503449344
15,x,d^2x/dt^2_x,1.2496659175813394
15,x,dy/dt_x,0.5177378570456802
